name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
OF1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
OF2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
OF3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
OF4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
OF5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
OF6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
OF7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
OF8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
OF9	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
OF10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MA1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MA2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MA3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MA4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MA5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MA6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LA1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LA2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LA3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LA4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LA5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LA6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MB1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MB2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MB3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MB4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MB5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MB6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LB1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LB2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LB3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LB4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LB5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LB6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MC1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MC2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MC3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MC4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MC5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MC6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LC1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LC2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LC3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LC4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LC5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LC6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
TEMP1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
TEMP2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
TEMP3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
TEMP4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
TEMP5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
TEMP6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MD1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MD2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MD3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MD4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MD5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MD6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LD1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LD2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LD3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LD4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LD5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LD6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ME1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ME2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ME3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ME4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ME5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ME6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ME7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ME8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MOT1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MOT2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MOT3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MOT4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MOT5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MOT6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LE1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LE2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LE3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LE4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LE5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LE6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MF1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MF2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MF3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MF4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MF5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MF6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LF1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LF2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LF3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LF4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LG1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LG2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LG3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
LG4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
POST1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
POST2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
POST3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
POST4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
POST5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
POST6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
C105	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
C106	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
C107	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
C108	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
C109	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
C110	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
EKG1	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
EKG2	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	n/a
C113	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
C114	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
C115	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
C116	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
C117	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
C118	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
C119	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
C120	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
