name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
RAM1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAM2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAM3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAM4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAM5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAM6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAM7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAM8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAM9	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAM10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAM11	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAM12	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH9	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH11	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH12	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHB1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHB2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHB3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHB4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHB5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHB6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHB7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHB8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHB9	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHB10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHB11	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHB12	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ROF1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ROF2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ROF3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ROF4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ROF5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ROF6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ROF7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ROF8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ROF9	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ROF10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ROF11	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
ROF12	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAI1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAI2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAI3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAI4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAI5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAI6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAI7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAI8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAI9	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RAI10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
