name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
FOPA1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPA2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPA3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPA4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPA5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPA6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPA7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPA8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPB1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPB2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPB3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPB4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPB5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPB6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPB7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPB8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPB9	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
FOPB10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH9	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH11	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH12	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH13	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH14	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH15	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
RHH16	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MTG1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MTG2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MTG3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MTG4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MTG5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
MTG6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
STGA1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
STGA2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
STGA3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
STGA4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
STGA5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
STGA6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
STGA7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
STGA8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a
