name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz	rz
OF1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
OF2	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
OF3	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
OF4	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
OF5	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
OF6	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
OF7	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	yes
OF8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	yes	n/a	yes
OF9	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	yes	n/a	yes
OF10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
MA1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	yes
MA2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	yes
MA3	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	yes
MA4	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	yes
MA5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	yes
MA6	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	yes
LA1	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	yes	n/a
LA2	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	yes	n/a
LA3	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	yes	yes
LA4	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	yes	yes
LA5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	yes
LA6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	yes
MB1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	yes
MB2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	yes
MB3	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	yes
MB4	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	yes
MB5	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	yes
MB6	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	yes
LB1	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	yes	n/a
LB2	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	yes	n/a
LB3	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	yes	n/a
LB4	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	yes	n/a
LB5	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
LB6	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
MC1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
MC2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
MC3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
MC4	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
MC5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
MC6	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
LC1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	n/a
LC2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	n/a
LC3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LC4	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	Excel-labeled	n/a	n/a	n/a
LC5	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	Excel-labeled	n/a	n/a	n/a
LC6	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	Excel-labeled	n/a	n/a	n/a
TEMP1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
TEMP2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
TEMP3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
TEMP4	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
TEMP5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
TEMP6	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
MD1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
MD2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
MD3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
MD4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
MD5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
MD6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LD1	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
LD2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LD3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LD4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LD5	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
LD6	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
ME1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
ME2	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
ME3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
ME4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
ME5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
ME6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
ME7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
ME8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
MOT1	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
MOT2	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
MOT3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
MOT4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
MOT5	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
MOT6	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
LE1	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
LE2	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
LE3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LE4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LE5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LE6	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
MF1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
